case_id,alert_id,case_outcome
CASE767,ALT5964,Confirmed Fraud
CASE768,ALT7533,False Negative
CASE769,ALT6845,Normal
CASE770,ALT1954,Normal
CASE771,ALT3949,False Positive
CASE772,ALT498,Normal
CASE773,ALT541,Confirmed Fraud
CASE774,ALT5575,Confirmed Fraud
CASE775,ALT4008,Normal
CASE776,ALT1180,Normal
CASE777,ALT4742,Confirmed Fraud
CASE778,ALT5235,Normal
CASE779,ALT2994,Normal
CASE780,ALT5900,Confirmed Fraud
CASE781,ALT4656,Monitoring
CASE782,ALT7170,Normal
CASE783,ALT5309,Normal
CASE784,ALT2130,Confirmed Fraud
CASE785,ALT4079,Monitoring
CASE786,ALT6077,Normal
CASE787,ALT1354,Normal
CASE788,ALT6188,Normal
CASE789,ALT1462,Confirmed Fraud
CASE790,ALT1267,Monitoring
CASE791,ALT5502,Confirmed Fraud
CASE792,ALT5581,Confirmed Fraud
CASE793,ALT2955,Confirmed Fraud
CASE794,ALT5730,Normal
CASE795,ALT5038,Monitoring
CASE796,ALT3197,Normal
CASE797,ALT5611,Monitoring
CASE798,ALT5057,Normal
CASE799,ALT6821,Confirmed Fraud
CASE800,ALT2696,Confirmed Fraud
CASE801,ALT4184,Confirmed Fraud
CASE802,ALT6895,Normal
CASE803,ALT6995,False Positive
CASE804,ALT7489,Normal
CASE805,ALT7616,Confirmed Fraud
CASE806,ALT3747,Confirmed Fraud
CASE807,ALT7352,Normal
CASE808,ALT6177,False Negative
CASE809,ALT3471,Normal
CASE810,ALT2449,Normal
CASE811,ALT6032,Normal
CASE812,ALT2662,Confirmed Fraud
CASE813,ALT4174,Confirmed Fraud
CASE814,ALT4322,Normal
CASE815,ALT6792,Normal
CASE816,ALT6499,Confirmed Fraud
CASE817,ALT6633,Confirmed Fraud
CASE818,ALT5267,Normal
CASE819,ALT1396,Confirmed Fraud
CASE820,ALT1988,Normal
CASE821,ALT3935,Confirmed Fraud
CASE822,ALT1616,Monitoring
CASE823,ALT398,False Positive
CASE824,ALT891,Monitoring
CASE825,ALT6868,Confirmed Fraud
CASE826,ALT2270,Confirmed Fraud
CASE827,ALT694,Normal
CASE828,ALT7811,Normal
CASE829,ALT4251,False Negative
CASE830,ALT2860,Monitoring
CASE831,ALT4766,Normal
CASE832,ALT7188,Normal
CASE833,ALT6491,Confirmed Fraud
CASE834,ALT1383,Normal
CASE835,ALT1655,Monitoring
CASE836,ALT4266,Confirmed Fraud
CASE837,ALT5512,Confirmed Fraud
CASE838,ALT1255,Confirmed Fraud
CASE839,ALT6481,Monitoring
CASE840,ALT987,Confirmed Fraud
CASE841,ALT6390,Confirmed Fraud
CASE842,ALT4697,Normal
CASE843,ALT6577,Confirmed Fraud
CASE844,ALT6457,False Positive
CASE845,ALT2130,Confirmed Fraud
CASE846,ALT2386,Confirmed Fraud
CASE847,ALT4141,Confirmed Fraud
CASE848,ALT2701,Normal
CASE849,ALT7618,Confirmed Fraud
CASE850,ALT418,Confirmed Fraud
CASE851,ALT2409,Confirmed Fraud
CASE852,ALT7038,Monitoring
CASE853,ALT851,Confirmed Fraud
CASE854,ALT2766,Confirmed Fraud
CASE855,ALT6242,Confirmed Fraud
CASE856,ALT5371,Confirmed Fraud
CASE857,ALT6263,Confirmed Fraud
CASE858,ALT2454,False Positive
CASE859,ALT443,Monitoring
CASE860,ALT3620,Normal
CASE861,ALT7201,Confirmed Fraud
CASE862,ALT4400,Normal
CASE863,ALT5957,Normal
CASE864,ALT1486,Confirmed Fraud
CASE865,ALT5794,Confirmed Fraud
CASE866,ALT5359,Confirmed Fraud
CASE867,ALT4185,False Positive
CASE868,ALT2628,Normal
CASE869,ALT2664,Confirmed Fraud
CASE870,ALT3713,Confirmed Fraud
CASE871,ALT3733,Confirmed Fraud
CASE872,ALT1993,Normal
CASE873,ALT4732,False Negative
CASE874,ALT7733,Normal
CASE875,ALT1924,False Negative
CASE876,ALT593,Confirmed Fraud
CASE877,ALT1524,False Negative
CASE878,ALT6722,Normal
CASE879,ALT7593,Normal
CASE880,ALT3126,Confirmed Fraud
CASE881,ALT6160,Confirmed Fraud
CASE882,ALT5512,False Negative
CASE883,ALT2852,Confirmed Fraud
CASE884,ALT5398,Normal
CASE885,ALT5670,Confirmed Fraud
CASE886,ALT1392,Confirmed Fraud
CASE887,ALT1280,Confirmed Fraud
CASE888,ALT2096,Monitoring
CASE889,ALT6282,Normal
CASE890,ALT1763,Normal
CASE891,ALT4512,Monitoring
CASE892,ALT6643,Confirmed Fraud
CASE893,ALT7461,Confirmed Fraud
CASE894,ALT6620,Monitoring
CASE895,ALT2230,Normal
CASE896,ALT3292,Confirmed Fraud
CASE897,ALT4129,Confirmed Fraud
CASE898,ALT1374,False Negative
CASE899,ALT5066,Confirmed Fraud
CASE900,ALT2612,Confirmed Fraud
CASE901,ALT6413,Confirmed Fraud
CASE902,ALT1846,False Positive
CASE903,ALT1432,False Positive
CASE904,ALT1540,Confirmed Fraud
CASE905,ALT6502,Confirmed Fraud
CASE906,ALT2503,Confirmed Fraud
CASE907,ALT918,False Positive
CASE908,ALT4935,Confirmed Fraud
CASE909,ALT7247,False Positive
CASE910,ALT5159,False Negative
CASE911,ALT5742,Confirmed Fraud
CASE912,ALT4823,Confirmed Fraud
CASE913,ALT3773,Monitoring
CASE914,ALT87,Confirmed Fraud
CASE915,ALT2755,Confirmed Fraud
CASE916,ALT6383,Normal
CASE917,ALT7312,Normal
CASE918,ALT3128,Confirmed Fraud
CASE919,ALT7693,Confirmed Fraud
CASE920,ALT4924,Confirmed Fraud
CASE921,ALT4181,Normal
CASE922,ALT7240,False Negative
CASE923,ALT7285,False Positive
CASE924,ALT619,Confirmed Fraud
CASE925,ALT3571,Normal
CASE926,ALT3671,Confirmed Fraud
CASE927,ALT5421,Confirmed Fraud
CASE928,ALT7768,Confirmed Fraud
CASE929,ALT7416,False Negative
CASE930,ALT5560,Confirmed Fraud
CASE931,ALT5422,Normal
CASE932,ALT6325,Monitoring
CASE933,ALT877,Normal
CASE934,ALT5139,False Negative
CASE935,ALT3401,Normal
CASE936,ALT2308,Normal
CASE937,ALT829,Confirmed Fraud
CASE938,ALT1410,Confirmed Fraud
CASE939,ALT7520,False Negative
CASE940,ALT3410,Confirmed Fraud
CASE941,ALT2395,Monitoring
CASE942,ALT3417,Confirmed Fraud
CASE943,ALT7192,Normal
CASE944,ALT3602,Confirmed Fraud
CASE945,ALT2335,Confirmed Fraud
CASE946,ALT3924,False Positive
CASE947,ALT2789,Normal
CASE948,ALT5656,Monitoring
CASE949,ALT7796,Confirmed Fraud
CASE950,ALT852,Normal
CASE951,ALT773,Confirmed Fraud
CASE952,ALT7739,Normal
CASE953,ALT3721,Normal
CASE954,ALT5560,False Negative
CASE955,ALT3949,Confirmed Fraud
CASE956,ALT349,Confirmed Fraud
CASE957,ALT6599,Normal
CASE958,ALT1576,Normal
CASE959,ALT5148,Confirmed Fraud
CASE960,ALT1766,Confirmed Fraud
CASE961,ALT556,Normal
CASE962,ALT6949,False Negative
CASE963,ALT3069,Confirmed Fraud
CASE964,ALT5794,Confirmed Fraud
CASE965,ALT382,Normal
CASE966,ALT2114,Confirmed Fraud
CASE967,ALT4257,Normal
CASE968,ALT6650,Confirmed Fraud
CASE969,ALT7862,Confirmed Fraud
CASE970,ALT4177,Confirmed Fraud
CASE971,ALT5052,Confirmed Fraud
CASE972,ALT7233,Confirmed Fraud
CASE973,ALT3955,Confirmed Fraud
CASE974,ALT4671,Confirmed Fraud
CASE975,ALT2097,Confirmed Fraud
CASE976,ALT6869,Normal
CASE977,ALT2886,Normal
CASE978,ALT2231,Confirmed Fraud
CASE979,ALT2263,Normal
CASE980,ALT6472,Monitoring
CASE981,ALT1105,Confirmed Fraud
CASE982,ALT4549,Confirmed Fraud
CASE983,ALT6020,False Negative
CASE984,ALT4224,Normal
CASE985,ALT5163,False Negative
CASE986,ALT50,Confirmed Fraud
CASE987,ALT5854,Normal
CASE988,ALT6032,Normal
CASE989,ALT3561,False Positive
CASE990,ALT3658,Confirmed Fraud
CASE991,ALT191,Confirmed Fraud
CASE992,ALT4469,Confirmed Fraud
CASE993,ALT6430,Monitoring
CASE994,ALT3078,Normal
CASE995,ALT2578,Confirmed Fraud
CASE996,ALT6503,Confirmed Fraud
CASE997,ALT7225,Confirmed Fraud
CASE998,ALT3081,Confirmed Fraud
CASE999,ALT3000,Confirmed Fraud
